T;-157|167;0,0,0,0,0,0,0,0,0,0;0.0
T;-150|155;0,0,0,0,0,0,0,0,0,0;0.0
T;-149|164;0,0,0,0,0,0,0,0,0,0;0.0
T;-149|168;0,0,0,0,0,0,0,0,0,0;0.0
T;-148|154;0,0,0,0,0,0,0,0,0,0;0.0
T;-146|155;0,0,0,0,0,0,0,0,0,0;0.0
T;-146|163;0,0,0,0,0,0,0,0,0,0;0.0
T;-145|155;0,0,0,0,0,0,0,0,0,0;0.0
T;-144|147;0,0,0,0,0,0,0,0,0,0;0.0
T;-144|155;0,0,0,0,0,0,0,0,0,0;0.0
T;-143|156;0,0,0,0,0,0,0,0,0,0;0.0
T;-143|158;0,0,0,0,0,0,0,0,0,0;0.0
T;-140|153;0,0,0,0,0,0,0,0,0,0;0.0
T;-143|147;4,3,0,2,0,0,0,0,0,0;318.5
T;-147|144;9,4,0,3,0,0,0,0,0,0;526.5
T;-145|164;8,4,0,4,0,0,0,0,0,0;562.0
T;-144|145;8,4,0,4,0,0,0,0,0,0;562.0
T;-142|161;9,5,0,3,0,0,0,0,0,0;564.0
T;-146|149;11,4,0,3,0,0,0,0,0,0;571.5
T;-145|145;12,4,0,3,0,0,0,0,0,0;594.0
T;-140|157;8,4,0,5,0,0,0,0,0,0;620.0
T;-144|150;9,5,0,4,0,0,0,0,0,0;622.0
T;-139|157;11,4,0,4,0,0,0,0,0,0;629.5
T;-140|158;12,5,0,3,0,0,0,0,0,0;631.5
T;-142|163;9,4,0,5,0,0,0,0,0,0;642.5
T;-143|168;10,5,0,4,0,0,0,0,0,0;644.5
T;-147|149;8,5,0,5,0,0,0,0,0,0;657.5
T;-143|149;12,6,0,3,0,0,0,0,0,0;669.0
T;-139|152;8,4,0,6,0,0,0,0,0,0;678.0
T;-149|146;10,6,0,4,0,0,0,0,0,0;682.0
T;-148|167;10,6,0,4,0,0,0,0,0,0;682.0
T;-141|162;9,4,0,6,0,0,0,0,0,0;700.5
T;-144|166;8,5,0,6,0,0,0,0,0,0;715.5
T;-142|160;8,5,0,6,0,0,0,0,0,0;715.5
T;-141|156;10,4,0,6,0,0,0,0,0,0;723.0
T;-141|155;12,6,0,4,0,0,0,0,0,0;727.0
T;-141|149;10,6,0,5,0,0,0,0,0,0;740.0
T;-146|154;11,4,0,6,0,0,0,0,0,0;745.5
T;-140|150;10,5,0,6,0,0,0,0,0,0;760.5
T;-139|153;12,4,0,6,0,0,0,0,0,0;768.0
T;-148|148;10,6,0,6,0,0,0,0,0,0;798.0
T;-151|162;6,3,0,3,0,0,3,0,0,0;931.5
T;-151|147;0,0,0,0,5,3,3,0,0,0;992.5
T;-143|167;20,8,0,6,0,0,0,0,0,0;1098.0
T;-146|156;9,18,0,4,0,0,0,0,0,0;1109.5
T;-145|146;16,8,0,8,0,0,0,0,0,0;1124.0
T;-144|146;0,0,0,0,5,8,2,0,0,0;1197.5
T;-148|168;18,12,0,6,0,0,0,0,0,0;1203.0
T;-139|154;22,10,0,6,0,0,0,0,0,0;1218.0
T;-145|161;16,12,0,8,0,0,0,0,0,0;1274.0
T;-142|148;16,10,0,10,0,0,0,0,0,0;1315.0
T;-145|169;18,12,0,8,0,0,0,0,0,0;1319.0
T;-141|152;22,8,0,10,0,0,0,0,0,0;1375.0
T;-143|160;24,10,0,8,0,0,0,0,0,0;1379.0
T;-149|155;18,8,0,12,0,0,0,0,0,0;1401.0
T;-147|147;22,8,0,12,0,0,0,0,0,0;1491.0
T;-148|151;12,0,6,0,0,0,4,0,2,0;1670.0
T;-159|162;0,0,0,0,8,8,4,0,0,0;1692.0
T;-140|161;0,0,0,0,8,8,4,0,0,0;1692.0
T;-147|170;24,15,0,12,0,0,0,0,0,0;1798.5
T;-139|162;24,15,0,12,0,0,0,0,0,0;1798.5
T;-147|169;11,6,0,24,0,0,0,0,0,0;1864.5
T;-143|146;36,15,0,9,0,0,0,0,0,0;1894.5
T;-149|167;33,18,0,9,0,0,0,0,0,0;1939.5
T;-150|166;30,12,0,15,0,0,0,0,0,0;1995.0
T;-147|168;30,18,0,12,0,0,0,0,0,0;2046.0
T;-144|160;33,12,0,15,0,0,0,0,0,0;2062.5
T;-144|167;9,5,0,3,0,0,9,0,0,0;2094.0
T;-150|163;36,12,0,15,0,0,0,0,0,0;2130.0
T;-141|154;24,15,0,18,0,0,0,0,0,0;2146.5
T;-143|148;36,15,0,15,0,0,0,0,0,0;2242.5
T;-147|156;10,5,35,4,0,0,0,0,0,0;2394.5
T;-157|165;0,0,0,0,5,24,2,0,0,0;2397.5
T;-161|152;8,0,6,0,0,0,0,5,2,0;2450.0
T;-142|154;36,18,0,18,0,0,0,0,0,0;2529.0
T;-148|150;12,0,10,0,0,0,4,0,6,0;2710.0
T;-146|164;12,6,42,3,0,0,0,0,0,0;2769.0
T;-147|160;0,0,0,0,15,15,9,0,0,0;3427.5
T;-151|163;10,5,0,6,0,0,17,0,0,0;3650.5
T;-149|151;13,0,10,0,0,0,0,4,8,0;3712.5
